"","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2","elevation"
"1","ECU.1.1_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Camilo Ponce Enriquez","NA","NA","Canton","Canton","0115","NA",815.782716384743
"2","ECU.1.2_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Chordeleg","NA","NA","Canton","Canton","0111","EC.AZ.CH",2744.14756549763
"3","ECU.1.3_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Cuenca","NA","NA","Canton","Canton","0101","EC.AZ.CU",2879.86570557571
"4","ECU.1.4_1","ECU","Ecuador","ECU.1_1","Azuay","NA","El Pan","NA","NA","Canton","Canton","0112","EC.AZ.EP",2757.04850069016
"5","ECU.1.5_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Girón","NA","NA","Canton","Canton","0102","EC.AZ.GR",2697.38392795965
"6","ECU.1.6_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Guachapala","NA","NA","Canton","Canton","0114","EC.LJ.GO",2591.53328192991
"7","ECU.1.7_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Gualaceo","NA","NA","Canton","Canton","0103","EC.AZ.GL",2797.45403417273
"8","ECU.1.8_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Nabón","NA","NA","Canton","Canton","0104","EC.AZ.NA",2714.53404887298
"9","ECU.1.9_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Oña","NA","NA","Canton","Canton","0110","EC.AZ.ON",2717.8176425056
"10","ECU.1.10_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Paute","NA","NA","Canton","Canton","0105","EC.AZ.PA",2752.86301618382
"11","ECU.1.11_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Pucará","NA","NA","Canton","Canton","0106","EC.AZ.PU",2282.35604499806
"12","ECU.1.12_1","ECU","Ecuador","ECU.1_1","Azuay","NA","San Fernando","NA","NA","Canton","Canton","0107","EC.AZ.SF",3019.08211502544
"13","ECU.1.13_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Santa Isabel","NA","NA","Canton","Canton","0108","EC.AZ.SI",2232.25179108297
"14","ECU.1.14_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Sevilla de Oro","NA","NA","Canton","Canton","0113","EC.AZ.SO",2935.46169283115
"15","ECU.1.15_1","ECU","Ecuador","ECU.1_1","Azuay","NA","Sigsig","NA","NA","Canton","Canton","0109","EC.AZ.SG",2891.95813235408
"16","ECU.2.1_1","ECU","Ecuador","ECU.2_1","Bolivar","NA","Caluma","NA","NA","Canton","Canton","0206","EC.BO.CA",852.393325206116
"17","ECU.2.2_1","ECU","Ecuador","ECU.2_1","Bolivar","NA","Chillanes","NA","NA","Canton","Canton","0202","EC.BO.CN",1147.93017725418
"18","ECU.2.3_1","ECU","Ecuador","ECU.2_1","Bolivar","NA","Chimbo","NA","NA","Canton","Canton","0203","EC.BO.CB",1376.68860927125
"19","ECU.2.4_1","ECU","Ecuador","ECU.2_1","Bolivar","NA","Echeandía","NA","NA","Canton","Canton","0204","EC.BO.EC",865.210776518847
"20","ECU.2.5_1","ECU","Ecuador","ECU.2_1","Bolivar","NA","Guaranda","NA","NA","Canton","Canton","0201","EC.BO.GU",2691.53331787316
